采集日期,平台名称,成交额(万),综合利率,投资人(人),借款周期(月),借款人(人),满标速度(分钟),累计贷款金额(万),净资金流入(万)
2017-09-30,步步盈,230,8.93%,149,7.52,1,111.95,15919.3,178.05
2017-09-30,微镇,229.31,13.6%,118,5.98,15,455.11,10196.65,128.13
2017-09-30,迅泊达,227,12.16%,48,4.24,8,730.43,6362.05,21.38
2017-09-30,多宝贷,226.86,9.64%,279,6.97,54,183.21,13726.95,86.07
2017-09-30,亲亲小贷,225.56,12.81%,145,3.71,1016,0.66,12453.46,0
2017-09-30,奇乐融,224.27,7.22%,70,8.01,30,130.20,15589.67,195.09
2017-09-30,升值空间,221.05,10.99%,71,3.93,9,824.16,14244.15,0
2017-09-30,赢贷通,220,5%,36,0.85,11,1.45,7975.63,216.94
2017-09-30,广富宝,215.94,13.82%,144,4.18,41,116.32,14070.47,-44.26
2017-09-30,私房钱,213,13.23%,41,7.32,4,0,0,0
2017-09-30,前金融,210.37,11.93%,152,3.41,13,180.26,1632.75,217.85
2017-09-30,58财福,206.88,7.47%,51,2.18,3,14.90,7807.06,0
2017-09-30,互融宝,204.69,9.07%,106,1.83,3,14.37,96514.83,-1138.32
2017-09-30,小微时贷,204.52,12.87%,184,5.46,25,358.31,48052.58,7.9
2017-09-30,财富智汇,204,15.54%,0,2.08,4,0,11486.52,55.56
2017-09-30,百泉贷,200,13%,67,12.00,2,755.11,20708.83,120.58
2017-09-30,天府财富,200,6.65%,42,8.50,1,1297.14,38166.76,33.89
2017-09-30,58红利,200,8.47%,38,7.68,7,612.86,12555.47,16.94
2017-09-30,鄂汇金融,198.8,11.67%,109,4.64,7,151.22,16843.27,109.82
2017-09-30,珠宝平安贷,195,9.18%,6,2.18,4,435.69,4628.19,177.05
2017-09-30,米利财富,195,24%,31,16.31,5,904.02,34288.12,192.16
2017-09-30,前金所,194.03,12.11%,12,10.03,1,706.84,9028.8,131.36
2017-09-30,e微贷,190.84,10.64%,108,6.81,18,480.79,21759.67,110.33
2017-09-30,共赢金融,188,10.22%,29,8.45,4,900.08,12014.93,44.18
2017-09-30,汇投网,182.43,10.1%,39,4.82,112,26.92,5045.1,0
2017-09-30,东方车贷,179.45,12.83%,77,5.04,26,272.09,7891.17,120.57
2017-09-30,闲钱宝,179.4,9.11%,0,1.42,4,0,7613.62,83.53
2017-09-30,真鑫贷,178.4,12.17%,67,1.73,17,498.53,863.71,65.05
2017-09-30,车财网,177.4,15.43%,107,1.97,9,165.39,7572.69,103.17
